country_code,airports,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018
,,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro
FR,53,602273.0,76744945.0,51625146.0,1986.3174359958205,0.7476340694006309,594938.0,78943924.0,54150037.0,2117.6220020065866,0.705160744500846,,,,,,,,,,,655194.0,86852295.0,63031165.0,1967.2237748294087,0.7093204219263358,670665.0,91557801.0,65463906.0,1958.187514190797,0.7098289164709829,630122.0,74966432.0,62856539.0,1933.2797982499933,0.7164229853791227,600926.0,89816540.0,64568787.0,2032.1839222153137,0.6970468431771895,636612.0,94790111.0,69102125.0,2051.7815893812467,0.6972130373169579,628587.0,96330484.0,70888420.0,1997.2175743383184,0.7017490494296578,611634.0,95460030.0,72281664.0,1971.028708563207,0.7083019436492392,601957.0,94768736.0,73741215.0,1967.2649701568116,0.7064946488784636,607503.0,96852979.0,75645230.0,1991.0108597414521,0.6993666224775372,615780.0,99530969.0,77821283.0,1970.7809403863596,0.6984628645309582,618711.0,101990032.0,81824147.0,2002.1586374553729,0.6971106412966878,727681.0,118405961.0,96368617.0,1997.0403749395814,0.6890107657932155
HR,6,,,,,,,,,,,,,,,,,,,,,,,,,,23854.0,2862234.0,1957790.0,963.1800548017038,0.9073170731707317,23173.0,2748048.0,1807993.0,1014.6370000562046,0.9143835616438356,24204.0,2794028.0,1920816.0,1064.0888703119326,0.9078125,26079.0,3017742.0,2213575.0,1054.4659724663202,0.881578947368421,26143.0,3175257.0,2402264.0,1089.3092652035018,0.9061166429587483,26635.0,3307076.0,2508990.0,1101.15871921342,0.9246753246753247,29019.0,3631628.0,2748317.0,1092.5756949911213,0.9211195928753181,29526.0,3806787.0,2915684.0,1133.7524546379275,0.9142156862745098,32019.0,4244070.0,3276325.0,1160.2707227245307,0.9059929494712103,32678.0,4519091.0,3615075.0,1198.685541842776,0.9081272084805654,35901.0,4956003.0,3920559.0,1214.4778352746307,0.9097142857142857
IT,37,481964.0,65732343.0,42379375.0,1535.293712776446,0.832774317201725,492505.0,69758354.0,45933986.0,1508.0260298443243,0.8398402839396628,512754.0,73640122.0,49493389.0,1600.5148169200581,0.8341736694677871,532846.0,77189719.0,52811184.0,1606.5618494744035,0.8336717740446742,587609.0,84241476.0,58673358.0,1623.9054956013706,0.8200203942895989,554657.0,81984646.0,56144018.0,1507.5932235969585,0.8305813553491572,540166.0,81274245.0,55385117.0,1452.804369657348,0.8383088869715272,548871.0,83396637.0,59193727.0,1461.6328369853914,0.8373312152501986,557943.0,86558264.0,63358054.0,1528.341896487,0.8398320335932813,541563.0,83303977.0,62575684.0,1472.5737594711104,0.8491798519378719,513893.0,82565288.0,61648183.0,1466.2930192720817,0.8441142191142191,500687.0,81061482.0,62374374.0,1491.601810077553,0.846570654498788,528465.0,83614282.0,67892705.0,1523.6650115366156,0.8490383284903833,542757.0,83747847.0,70532522.0,1524.213687571862,0.8472899340407227,562429.0,90022942.0,75365569.0,1526.0001709394119,0.8342872008324662,576797.0,98187297.0,79127401.0,1558.281964642854,0.8261799874134675
CY,2,,,,,,9266.0,1595167.0,1225710.0,2512.7854351997394,0.8566176470588235,20467.0,3756645.0,2592315.0,2558.309061089674,0.8321513002364066,22915.0,4089943.0,2936420.0,2475.554159857476,0.8333333333333334,19541.0,3532666.0,2607724.0,2554.5644993901615,0.7905236907730673,20376.0,3771864.0,2704619.0,2551.2279956379202,0.7764423076923077,18897.0,3373633.0,2488876.0,2507.2396579243277,0.8037383177570093,19383.0,3368344.0,2613636.0,2571.9803009891675,0.7878103837471784,19538.0,3433844.0,2704508.0,2689.093239314506,0.7963800904977375,18513.0,3393658.0,2678735.0,2592.6563994243797,0.8155555555555556,18900.0,3569932.0,2921487.0,2498.628475722804,0.821247892074199,17703.0,3334731.0,2715608.0,2447.8760788483823,0.7670329670329671,18877.0,3522171.0,2960011.0,2374.7183484950638,0.7652859960552268,23485.0,4212579.0,3506422.0,2440.253980983392,0.7320388349514563,26478.0,4864790.0,4049087.0,2390.920501752165,0.7084942084942085,27985.0,5136862.0,4271841.0,2367.525233192074,0.722027972027972
LV,1,,,,,,9218.0,727838.0,431560.0,997.7818653195546,0.8756476683937824,12592.0,1271639.0,844259.0,1360.6410013871018,0.8208955223880597,15312.0,1559909.0,1151842.0,1262.6043338154996,0.8564102564102564,15506.0,1691635.0,1250456.0,1139.743773920663,0.8871473354231975,19831.0,2081211.0,1460742.0,1198.616793209211,0.9076923076923077,22040.0,2324466.0,1658030.0,1212.6840402923353,0.8511166253101737,25657.0,2734144.0,1934680.0,1278.7337763151231,0.8518518518518519,21087.0,2094119.0,1587059.0,1173.348858439667,0.875,26406.0,2685143.0,1995839.0,1281.6874214776701,0.848421052631579,25580.0,2677773.0,2022426.0,1299.5762235772652,0.8313253012048193,25021.0,2613952.0,1985384.0,1216.153419063484,0.8642533936651584,22830.0,2339020.0,1728220.0,1133.0173231473286,0.875,22087.0,2329703.0,1794192.0,1059.3107688921548,0.8636363636363636,23806.0,2599591.0,2003822.0,1082.483127605806,0.8695652173913043,28588.0,3247815.0,2482916.0,1213.5330102802923,0.8250728862973761
LT,3,,,,,,,,,,,13782.0,1115954.0,639111.0,1072.7378128470496,0.8561151079136691,13332.0,1163407.0,781833.0,1130.3435099427907,0.8686868686868687,15139.0,1479479.0,986694.0,1280.748004618785,0.8258426966292135,17472.0,1755915.0,1144225.0,1326.5603787189002,0.8288770053475936,11427.0,1194585.0,845476.0,1256.813581280472,0.8566666666666667,14272.0,1555440.0,1084959.0,1300.3020924271016,0.8752834467120182,15000.0,1688791.0,1218059.0,1304.1625195582901,0.906187624750499,15461.0,1906559.0,1418237.0,1370.5750349632822,0.9116022099447514,13569.0,1770517.0,1354569.0,1350.6141909555188,0.922566371681416,14570.0,1905488.0,1427533.0,1310.4653904607812,0.9454545454545454,16474.0,2232990.0,1704174.0,1388.1866106556256,0.9549718574108818,17145.0,2347790.0,1797347.0,1342.977521578715,0.948936170212766,18519.0,2613735.0,2034766.0,1413.0959218396379,0.9178082191780822,21416.0,3172851.0,2502885.0,1438.6829991289662,0.8953125
LU,1,,,,,,,,,,,15554.0,1094371.0,598573.0,1014.2397969160796,0.9148936170212766,16382.0,1137487.0,640474.0,1009.4752018603594,0.9154929577464789,15642.0,1068259.0,655295.0,1013.6979446889906,0.9157894736842105,16696.0,1164727.0,694903.0,1102.7904023485964,0.8819672131147541,15245.0,1053161.0,631579.0,1091.9053298663227,0.8741258741258742,14981.0,1117232.0,666665.0,1097.1559149423674,0.8783783783783784,16272.0,1317946.0,754904.0,1179.8488684854456,0.9207920792079208,17631.0,1346000.0,819683.0,1185.027262022834,0.890625,18140.0,1478281.0,954753.0,1179.5484400231896,0.8941176470588236,18629.0,1616349.0,1087449.0,1124.3960277300357,0.8968481375358166,17308.0,1599391.0,1084561.0,830.5476858366522,1.0,18175.0,1852946.0,1192293.0,815.7955298507286,1.0,19631.0,2216997.0,1456036.0,802.8999625983971,1.0,21736.0,2524493.0,1664657.0,840.8995768683563,0.963963963963964
HU,2,22895.0,0.0,1639140.0,1048.83395771003,0.75,32413.0,0.0,2229144.0,1302.9599209570188,0.7983193277310925,39329.0,0.0,2923932.0,1240.5429440455732,0.85,36818.0,3410619.0,2880292.0,1248.6767015067644,0.8571428571428571,36109.0,4310055.0,3042100.0,1283.956418571832,0.8325581395348837,33639.0,4128856.0,2885882.0,1296.4174655578242,0.8484848484848485,33712.0,4131274.0,2926283.0,1295.4835386417503,0.8857142857142857,32670.0,4119690.0,3001582.0,1145.3430503046534,0.916083916083916,37182.0,4769193.0,3513125.0,1254.4083905229695,0.8822314049586777,29805.0,4376791.0,3364012.0,1215.9715522717352,0.9012345679012346,28499.0,4446529.0,3490710.0,1241.6149901449837,0.9024390243902439,29169.0,4533737.0,3690278.0,1250.2303589430048,0.8807157057654076,32024.0,5150228.0,4246108.0,1308.62315056308,0.8659217877094972,34612.0,5816010.0,4767225.0,1257.3366538043183,0.8637110016420362,36948.0,6290179.0,5327485.0,1282.0107923119701,0.8590704647676162,42548.0,7366109.0,6132528.0,1275.7726039664162,0.84251968503937
MT,1,11323.0,1362752.0,973682.0,1503.3643057531697,0.9444444444444444,8673.0,1321111.0,953820.0,1590.2459699528567,0.9411764705882353,8739.0,1374489.0,958222.0,1633.5861288540214,0.9411764705882353,7959.0,1255710.0,892845.0,1547.3070635055094,0.9375,9140.0,1501075.0,1043348.0,1597.5410027157632,0.9473684210526315,9244.0,1512082.0,1119615.0,1549.2170417851694,0.9541984732824428,9201.0,1503111.0,1074908.0,1560.1519568681497,0.9541984732824428,10053.0,1618215.0,1156633.0,1573.84949587352,0.9581881533101045,9481.0,1571216.0,1233841.0,1744.1578261483153,0.9611650485436893,9961.0,1655974.0,1307846.0,1623.3207891143966,0.9304347826086956,11054.0,1868256.0,1478595.0,1628.4879847147329,0.9083969465648855,11760.0,1989360.0,1594113.0,1582.1306427185007,0.9512820512820512,12958.0,2176964.0,1778741.0,1642.1891874338467,0.9712918660287081,10684.0,1798293.0,1501772.0,1611.2460462309887,1.0,13252.0,2339688.0,1894699.0,1623.5815641527045,1.0,14064.0,2485694.0,2019466.0,1642.07169972402,1.0
NL,5,170918.0,0.0,18222361.0,2956.166752704772,0.6674220963172804,176481.0,26449550.0,20061648.0,3011.091675368164,0.6651718983557549,179327.0,28147981.0,20831110.0,3004.4912910484895,0.6642048252092565,193378.0,33583378.0,22127754.0,3060.23062286176,0.6587723537941035,204409.0,31008702.0,23378459.0,2996.1101396394915,0.6732406992380099,203015.0,31155699.0,23441598.0,2972.9165939504387,0.6773916773916774,185274.0,28783758.0,21348504.0,2998.43493779374,0.6732584269662921,183982.0,29033868.0,22336108.0,2949.12221877212,0.6810126582278481,202454.0,31295533.0,24930490.0,2930.385215718188,0.6780333068992863,205058.0,31322607.0,25524783.0,2868.396934346635,0.6958028494416635,209555.0,32687295.0,26793223.0,2779.860968722367,0.7052518756698821,216670.0,34496307.0,28255112.0,2791.1605227153705,0.7132793237055302,224197.0,36464930.0,30164027.0,2795.9036447034564,0.7201068804275217,239554.0,39656162.0,33049685.0,2797.901427324493,0.7104819683181665,244400.0,41329458.0,35137245.0,2871.000643434797,0.696149843912591,251077.0,43326505.0,37066420.0,2842.733501469725,0.7013281503077421
