,flight,distance
161,DE_EDDF_LU_ELLX,176.2366772047932
162,DE_EDDF_LV_EVRA,1273.3052005520206
163,DE_EDDF_MA_GMMN,2277.523205117142
164,DE_EDDF_MD_LUKK,1539.1330101769458
165,DE_EDDF_MT_LMML,1645.6272536202546
166,DE_EDDF_MU_FIMP,9177.538871762545
167,DE_EDDF_MX_MMMX,9566.814156199787
168,DE_EDDF_MX_MMUN,8619.680744439993
169,DE_EDDF_NA_FYWH,8079.517899902426
170,DE_EDDF_NG_DNAA,4550.167048331788
171,DE_EDDF_NG_DNMM,4842.143815900472
172,DE_EDDF_NL_EHAM,367.2689212869613
173,DE_EDDF_NO_ENGM,1133.905993336003
174,DE_EDDF_OM_OOMS,5183.987949430534
175,DE_EDDF_PA_MPTO,9096.440301808896
176,DE_EDDF_PL_EPGD,830.235373741571
177,DE_EDDF_PL_EPKK,802.3480566025523
178,DE_EDDF_PL_EPKT,750.4810815412574
179,DE_EDDF_PL_EPPO,634.4459971551611
180,DE_EDDF_PL_EPWA,898.9043704919968
181,DE_EDDF_PL_EPWR,600.6560800126782
182,DE_EDDF_PT_LPFR,1960.8527806121506
183,DE_EDDF_PT_LPMA,2838.39936441612
184,DE_EDDF_PT_LPPR,1655.5285049240892
185,DE_EDDF_PT_LPPT,1876.1503995348135
186,DE_EDDF_QA_OTBD,4589.547138092613
187,DE_EDDF_RO_LROP,1452.5122984425602
188,DE_EDDF_RS_LYBE,1056.6956231996398
189,DE_EDDF_RU_ULLI,1751.7027636126013
190,DE_EDDF_RU_UUDD,2052.9543031054973
191,DE_EDDF_RU_UUEE,2028.4757468749121
192,DE_EDDF_SA_OEJN,4130.550682846294
193,DE_EDDF_SA_OERK,4294.921760297764
194,DE_EDDF_SE_ESGG,883.2275829760797
195,DE_EDDF_SE_ESSA,1225.0008360402262
196,DE_EDDF_SG_WSSS,10282.574296816993
197,DE_EDDF_SI_LJLJ,609.1442248380405
198,DE_EDDF_TH_VTBS,9008.96407482399
199,DE_EDDF_TN_DTTA,1470.606175670152
200,DE_EDDF_TR_LTAC,2201.0731655414647
201,DE_EDDF_TR_LTAI,2300.7877754363767
202,DE_EDDF_TR_LTBA,1865.8503273475735
203,DE_EDDF_TR_LTBJ,1967.9893802880858
204,DE_EDDF_TR_LTFJ,1903.5838249615922
205,DE_EDDF_TW_RCTP,9382.836386895337
206,DE_EDDF_UA_UKBB,1588.644105342568
207,DE_EDDF_UA_UKKK,1556.6022901263254
208,DE_EDDF_UK_EGBB,768.3802269218866
209,DE_EDDF_UK_EGCC,834.8134323979816
210,DE_EDDF_UK_EGLC,622.221766154151
211,DE_EDDF_UK_EGLL,656.7075677408462
212,DE_EDDF_UK_EGPF,1086.176136140904
213,DE_EDDF_UK_EGPH,1035.1975963225902
214,DE_EDDF_UK_EGSS,620.3933412615402
215,DE_EDDF_US_KATL,7427.005523293484
216,DE_EDDF_US_KBOS,5905.7123405203965
217,DE_EDDF_US_KCLT,7076.572536108057
218,DE_EDDF_US_KDEN,8110.3435256550965
219,DE_EDDF_US_KDFW,8277.379448666896
220,DE_EDDF_US_KDTW,6697.867298299393
221,DE_EDDF_US_KEWR,6227.834955642961
222,DE_EDDF_US_KIAD,6567.791699662655
223,DE_EDDF_US_KIAH,8420.750446640692
224,DE_EDDF_US_KJFK,6206.1631007274755
225,DE_EDDF_US_KLAS,8985.75588074411
226,DE_EDDF_US_KLAX,9344.15334387148
227,DE_EDDF_US_KMCO,7635.215828571334
228,DE_EDDF_US_KMIA,7777.805128833216
229,DE_EDDF_US_KORD,6990.393654005484
230,DE_EDDF_US_KPHL,6356.268687879385
231,DE_EDDF_US_KSAN,9399.717781309648
232,DE_EDDF_US_KSEA,8221.621564506171
233,DE_EDDF_US_KSFO,9172.029503409714
234,DE_EDDF_US_KTPA,7754.429677950326
235,DE_EDDF_VN_VVNB,8725.660328122629
236,DE_EDDF_VN_VVTS,9665.024152262296
237,DE_EDDF_ZA_FACT,9356.832046166392
238,DE_EDDF_ZA_FAOR,8658.360611716233
239,DE_EDDG_DE_EDDF,241.8592292953851
240,DE_EDDG_DE_EDDM,512.1162288669957
241,DE_EDDG_EG_HEGN,3524.024330841513
242,DE_EDDG_EL_LGIR,2325.4107940119557
243,DE_EDDG_ES_LEPA,1449.5065721862222
244,DE_EDDG_TR_LTAI,2478.6021911475077
245,DE_EDDH_AE_OMDB,4888.077032711292
246,DE_EDDH_AT_LOWS,683.223634426006
247,DE_EDDH_AT_LOWW,768.5562161703067
248,DE_EDDH_BE_EBBR,482.8737213361821
249,DE_EDDH_CH_LSZH,693.3721735755284
250,DE_EDDH_DE_EDDF,411.9606565116989
251,DE_EDDH_DE_EDDK,363.79149397269475
252,DE_EDDH_DE_EDDL,340.22273546968813
253,DE_EDDH_DE_EDDM,600.3762584309827
254,DE_EDDH_DE_EDDN,465.8438687524514
255,DE_EDDH_DE_EDDS,552.2354805327911
256,DE_EDDH_DK_EKCH,280.3846825263468
257,DE_EDDH_EG_HEGN,3529.199807401968
258,DE_EDDH_EL_LGIR,2353.4441255528154
259,DE_EDDH_ES_GCFV,3405.987886434846
260,DE_EDDH_ES_GCLP,3528.2155337140234
261,DE_EDDH_ES_GCTS,3574.793137905502
262,DE_EDDH_ES_LEBL,1493.0713369816901
263,DE_EDDH_ES_LEMD,1782.2863100945765
264,DE_EDDH_ES_LEMG,2192.418228677171
265,DE_EDDH_ES_LEPA,1658.592612148877
266,DE_EDDH_FI_EFHK,1171.7180514245124
267,DE_EDDH_FR_LFPG,729.1982860560272
